Date,Close/Last,Volume,Open,High,Low
04/21/2017,$204.90,34205,$209.30,$209.555,$203.42
04/20/2017,$209.82,37287,$208.82,$210.25,$207.50
04/19/2017,$208.23,18676,$208.51,$209.3399,$207.1686
04/18/2017,$207.39,27804,$207.40,$209.92,$205.01
04/17/2017,$207.45,19604,$203.29,$207.56,$203.00
04/13/2017,$202.18,23848,$201.77,$204.78,$201.63
04/12/2017,$202.51,19888,$203.77,$204.01,$200.91
04/11/2017,$203.91,23049,$204.59,$204.59,$202.73
04/10/2017,$204.34,35401,$199.46,$205.6999,$199.46
04/07/2017,$199.21,51787,$198.46,$200.36,$198.42
04/06/2017,$198.67,25656,$199.80,$199.80,$198.10
04/05/2017,$199.67,32741,$202.45,$202.45,$199.65
04/04/2017,$202.02,40316,$199.32,$202.65,$199.32
04/03/2017,$199.31,48044,$206.10,$206.10,$199.08
03/31/2017,$206.02,54281,$203.56,$207.40,$203.34
03/30/2017,$203.75,38339,$202.94,$204.245,$201.00
03/29/2017,$202.26,39781,$201.60,$202.90,$200.315
03/28/2017,$202.00,48828,$199.21,$202.43,$198.05
03/27/2017,$199.38,45037,$196.20,$200.7532,$196.00
03/24/2017,$197.28,32857,$198.79,$198.90,$197.14
03/23/2017,$198.52,71824,$195.05,$200.58,$195.05
03/22/2017,$195.83,64470,$193.69,$196.70,$193.69
03/21/2017,$195.00,84132,$195.62,$198.00,$194.50
03/20/2017,$195.23,45100,$194.27,$195.6999,$192.6371
03/17/2017,$194.03,120598,$192.08,$195.74,$192.08
03/16/2017,$192.38,104846,$188.76,$193.78,$188.76
03/15/2017,$189.04,929449,$185.62,$191.60,$183.19
03/14/2017,$186.50,256007,$179.49,$188.39,$178.50
03/13/2017,$171.22,23464,$170.93,$173.3185,$170.93
03/10/2017,$171.74,21910,$174.23,$176.8453,$171.32
03/09/2017,$173.00,40767,$172.10,$179.57,$172.00
03/08/2017,$174.35,28330,$174.56,$175.99,$172.19
03/07/2017,$174.55,15968,$172.98,$175.96,$172.98
03/06/2017,$173.41,19005,$173.80,$175.15,$173.16
03/03/2017,$174.29,19041,$173.99,$174.82,$172.27
03/02/2017,$174.02,15530,$174.43,$174.75,$173.07
03/01/2017,$174.51,32767,$172.60,$175.79,$172.60
02/28/2017,$172.07,29219,$176.69,$176.69,$171.50
02/27/2017,$176.40,30733,$177.74,$178.284,$175.02
02/24/2017,$177.32,16675,$179.80,$180.065,$176.44
02/23/2017,$180.84,18656,$180.92,$181.23,$177.33
02/22/2017,$180.57,19307,$180.73,$181.1541,$178.83
02/21/2017,$181.09,33024,$177.85,$181.27,$177.85
02/17/2017,$177.06,19762,$175.53,$177.60,$175.53
02/16/2017,$175.09,11015,$174.10,$175.12,$174.10
02/15/2017,$174.44,18255,$174.40,$175.05,$174.07
02/14/2017,$174.28,13914,$176.40,$176.41,$174.20
02/13/2017,$176.50,22154,$176.50,$176.915,$174.32
02/10/2017,$177.00,10021,$177.30,$177.43,$174.83
02/09/2017,$176.40,31024,$173.89,$178.48,$172.86
02/08/2017,$172.99,18512,$183.98,$183.98,$171.76
02/07/2017,$172.34,26183,$171.41,$173.48,$170.775
02/06/2017,$171.29,15326,$170.95,$171.99,$170.625
02/03/2017,$171.16,18021,$169.50,$171.5653,$169.50
02/02/2017,$169.32,14635,$168.80,$169.80,$168.68
02/01/2017,$168.22,27405,$169.79,$169.82,$167.54
01/31/2017,$168.84,26056,$164.09,$169.33,$162.305
01/30/2017,$164.50,16760,$165.10,$165.3744,$162.98
01/27/2017,$165.91,14373,$166.26,$166.96,$165.28
01/26/2017,$166.49,20938,$168.53,$168.9843,$165.89
01/25/2017,$169.35,32145,$169.60,$170.265,$168.80
01/24/2017,$169.60,23729,$167.30,$170.00,$167.30
01/23/2017,$167.69,16666,$166.27,$169.13,$166.21
01/20/2017,$166.64,14853,$166.70,$168.055,$166.01
01/19/2017,$166.41,13986,$167.17,$167.99,$166.28
01/18/2017,$168.00,18256,$167.04,$168.25,$165.60
01/17/2017,$166.71,23225,$169.16,$169.99,$166.05
01/13/2017,$170.10,24570,$168.70,$170.14,$167.80
01/12/2017,$169.30,17057,$170.52,$170.52,$168.37
01/11/2017,$170.92,20980,$171.00,$171.08,$169.77
01/10/2017,$171.73,27305,$172.39,$173.01,$170.15
01/09/2017,$173.17,35326,$177.00,$177.00,$172.30
01/06/2017,$177.21,21781,$178.88,$179.60,$176.01
01/05/2017,$179.30,20840,$180.01,$180.9999,$178.01
01/04/2017,$179.96,17909,$179.89,$181.00,$176.07
01/03/2017,$179.70,31525,$178.72,$180.74,$174.60
12/30/2016,$178.85,30430,$178.27,$179.90,$177.20
12/29/2016,$179.05,25733,$177.80,$180.70,$177.80
12/28/2016,$178.70,24004,$179.23,$180.06,$177.63
12/27/2016,$179.08,47313,$178.31,$182.26,$178.01
12/23/2016,$177.56,18639,$174.00,$178.05,$174.00
12/22/2016,$174.67,25495,$176.27,$176.27,$172.66
12/21/2016,$177.21,33823,$178.12,$179.41,$176.06
12/20/2016,$178.52,43656,$173.01,$179.35,$173.01
12/19/2016,$173.60,27162,$174.48,$175.57,$173.52
12/16/2016,$174.06,42783,$172.87,$174.74,$171.17
12/15/2016,$171.66,33542,$167.98,$172.41,$167.10
12/14/2016,$167.72,39876,$166.78,$168.43,$165.5201
12/13/2016,$167.16,32946,$167.20,$168.24,$166.0101
12/12/2016,$167.33,29856,$166.97,$167.38,$165.22
12/09/2016,$167.15,68016,$162.48,$167.54,$161.59
12/08/2016,$161.91,31117,$161.78,$162.85,$160.40
12/07/2016,$162.03,51247,$159.58,$162.06,$159.58
12/06/2016,$159.72,23983,$160.48,$161.35,$159.27
12/05/2016,$160.02,28422,$157.78,$160.75,$157.78
12/02/2016,$157.62,19529,$159.14,$162.32,$157.21
12/01/2016,$159.01,32735,$161.53,$165.90,$157.86
11/30/2016,$161.78,39190,$165.81,$166.4575,$161.39
11/29/2016,$165.06,56330,$166.86,$167.3013,$163.30
11/28/2016,$166.15,31203,$166.12,$167.44,$165.27
11/25/2016,$165.86,13776,$165.02,$166.87,$163.644
11/23/2016,$164.73,27369,$165.47,$168.551,$164.0454
11/22/2016,$165.02,74965,$165.14,$168.94,$164.59
11/21/2016,$164.90,23857,$164.84,$165.76,$164.53
11/18/2016,$165.44,29717,$164.37,$166.12,$164.25
11/17/2016,$164.97,27071,$164.64,$165.05,$162.971
11/16/2016,$165.32,27495,$164.96,$165.87,$164.21
11/15/2016,$164.60,44436,$165.22,$166.33,$162.8733
11/14/2016,$164.98,68300,$167.50,$168.1012,$162.69
11/11/2016,$167.48,83619,$158.20,$169.58,$158.20
11/10/2016,$160.49,68959,$155.84,$160.87,$153.94
11/09/2016,$157.81,254276,$128.00,$157.97,$125.001
11/08/2016,$141.27,34308,$139.10,$143.5304,$139.10
11/07/2016,$140.37,57482,$140.56,$141.49,$139.77
11/04/2016,$140.56,35511,$141.74,$142.50,$140.09
11/03/2016,$141.38,34320,$142.01,$142.20,$141.00
11/02/2016,$142.72,43964,$140.94,$143.11,$140.141
11/01/2016,$141.41,35561,$141.91,$142.92,$140.64
10/31/2016,$141.30,62655,$145.09,$145.09,$141.25
10/28/2016,$145.09,86879,$141.52,$145.42,$141.52
10/27/2016,$141.56,103943,$144.84,$145.04,$140.7109
10/26/2016,$144.47,46818,$145.79,$146.975,$144.08
10/25/2016,$145.34,27237,$144.94,$145.91,$144.282
10/24/2016,$144.56,25877,$144.549,$144.63,$143.18
10/21/2016,$143.16,29303,$143.24,$143.34,$141.74
10/20/2016,$142.89,35834,$143.28,$144.79,$142.65
10/19/2016,$143.98,43758,$141.89,$144.43,$141.11
10/18/2016,$142.40,35567,$142.00,$143.66,$140.0001
10/17/2016,$141.23,26788,$140.10,$142.24,$140.00
10/14/2016,$140.35,31579,$142.20,$142.20,$139.96
10/13/2016,$141.87,56518,$142.07,$142.82,$140.89
10/12/2016,$141.79,92487,$139.39,$142.79,$137.22
10/11/2016,$140.30,59648,$141.76,$142.80,$138.60
10/10/2016,$141.58,85890,$141.35,$143.685,$140.735
10/07/2016,$141.47,99537,$142.46,$143.30,$140.7855
10/06/2016,$142.50,94226,$141.53,$143.41,$140.51
10/05/2016,$141.44,284030,$144.29,$144.64,$140.07
10/04/2016,$143.49,59683,$145.60,$146.40,$142.53
10/03/2016,$145.12,72715,$147.52,$147.585,$144.33
09/30/2016,$148.16,115949,$143.20,$149.255,$142.69
09/29/2016,$143.41,40293,$146.65,$147.0046,$143.335
09/28/2016,$146.13,59043,$147.88,$149.545,$145.04
09/27/2016,$148.19,86960,$144.00,$148.37,$144.00
09/26/2016,$144.50,60187,$148.18,$148.18,$144.30
09/23/2016,$148.52,35185,$151.01,$151.01,$148.46
09/22/2016,$150.53,92357,$145.91,$151.605,$145.91
09/21/2016,$145.95,57008,$146.00,$147.2999,$145.11
09/20/2016,$145.73,66670,$145.59,$146.70,$144.66
09/19/2016,$144.64,42633,$143.50,$146.00,$143.50
09/16/2016,$143.85,74762,$146.52,$146.52,$143.031
09/15/2016,$146.40,37972,$146.17,$146.91,$145.63
09/14/2016,$146.18,30687,$147.75,$148.8899,$146.12
09/13/2016,$147.15,60106,$149.00,$150.0237,$146.465
09/12/2016,$149.80,132587,$149.35,$151.23,$148.76
09/09/2016,$149.21,101763,$150.88,$151.90,$149.08
09/08/2016,$151.63,88991,$153.88,$155.285,$151.38
09/07/2016,$154.62,107484,$153.94,$156.86,$152.96
09/06/2016,$153.72,40892,$154.59,$154.81,$152.183
09/02/2016,$153.83,83296,$152.70,$154.29,$151.87
09/01/2016,$152.65,52143,$149.90,$152.65,$149.90
08/31/2016,$150.30,52635,$151.09,$151.09,$149.835
08/30/2016,$150.52,53283,$150.62,$151.70,$149.55
08/29/2016,$150.26,53571,$150.47,$152.7413,$150.00
08/26/2016,$151.34,64962,$152.24,$153.6827,$149.96
08/25/2016,$152.56,48504,$151.00,$153.7699,$151.00
08/24/2016,$151.71,42485,$153.36,$153.971,$151.03
08/23/2016,$153.02,76649,$149.72,$154.79,$149.59
08/22/2016,$150.04,64548,$150.86,$151.8369,$149.30
08/19/2016,$151.26,30778,$152.45,$155.505,$150.70
08/18/2016,$152.76,72730,$152.31,$154.3899,$151.39
08/17/2016,$151.70,61799,$152.77,$152.909,$150.01
08/16/2016,$153.96,54352,$157.11,$158.22,$153.62
08/15/2016,$158.00,68320,$158.13,$161.44,$156.65
08/12/2016,$156.50,84629,$151.80,$158.46,$151.80
08/11/2016,$152.25,108498,$153.11,$154.20,$151.68
08/10/2016,$153.50,205985,$142.21,$160.80,$141.56
08/09/2016,$141.53,48013,$141.82,$143.37,$141.07
08/08/2016,$141.56,29114,$142.22,$142.445,$140.51
08/05/2016,$142.35,44028,$142.94,$144.045,$141.90
08/04/2016,$142.27,36005,$143.23,$144.00,$141.298
08/03/2016,$142.42,56930,$142.50,$143.93,$140.46
08/02/2016,$142.60,109034,$145.11,$146.229,$142.07
08/01/2016,$144.51,85272,$141.82,$145.23,$140.73
07/29/2016,$142.41,205977,$144.35,$145.82,$140.10
07/28/2016,$143.94,88648,$141.73,$144.20,$141.32
07/27/2016,$141.73,181083,$147.00,$147.58,$140.10
07/26/2016,$147.62,50666,$148.67,$149.2337,$147.03
07/25/2016,$148.43,37293,$150.11,$151.579,$147.3849
07/22/2016,$149.30,57920,$146.99,$151.2799,$146.94
07/21/2016,$147.06,71227,$147.87,$148.65,$145.50
