Date,Close/Last,Volume,Open,High,Low
11/09/2016,$120.31,16218520,$120.00,$122.50,$118.10
11/08/2016,$117.05,6674915,$116.48,$117.57,$116.47
11/07/2016,$116.66,6397553,$115.89,$116.72,$115.84
11/04/2016,$115.11,7160568,$115.04,$115.94,$115.04
11/03/2016,$115.03,6227010,$114.88,$115.4393,$114.75
11/02/2016,$114.86,6591283,$115.52,$115.76,$114.83
11/01/2016,$115.34,7584930,$114.76,$115.94,$114.63
10/31/2016,$115.99,8552218,$115.28,$116.23,$114.50
10/28/2016,$115.33,8812952,$115.82,$115.91,$114.57
10/27/2016,$115.70,7543980,$114.98,$116.55,$114.79
10/26/2016,$114.56,6429053,$113.64,$115.22,$113.60
10/25/2016,$113.96,5591160,$113.64,$114.16,$113.093
10/24/2016,$113.61,6141630,$113.93,$114.1897,$113.44
10/21/2016,$113.44,8412849,$114.11,$114.24,$112.99
10/20/2016,$114.87,6969184,$114.83,$115.70,$114.59
10/19/2016,$114.59,7397689,$115.57,$115.89,$114.46
10/18/2016,$115.41,12596660,$117.38,$118.48,$115.16
10/17/2016,$118.49,6951063,$117.50,$118.55,$117.50
10/14/2016,$117.56,5639841,$118.50,$118.80,$117.56
10/13/2016,$118.26,7387365,$117.54,$119.20,$117.28
10/12/2016,$117.97,4685998,$117.96,$118.43,$117.50
10/11/2016,$117.64,6394153,$119.41,$119.63,$117.06
10/10/2016,$119.80,3628341,$119.51,$120.1955,$119.35
10/07/2016,$119.24,4798331,$119.17,$119.565,$118.69
10/06/2016,$118.75,4447824,$118.50,$118.85,$117.92
10/05/2016,$119.18,5778614,$119.22,$119.44,$118.595
10/04/2016,$118.82,5729753,$118.84,$119.48,$118.28
10/03/2016,$118.81,6097487,$118.00,$119.01,$117.43
09/30/2016,$118.13,7940863,$117.78,$118.619,$117.39
09/29/2016,$117.27,6188019,$118.88,$119.27,$117.0434
09/28/2016,$119.39,5075789,$119.05,$119.52,$118.81
09/27/2016,$119.22,5349409,$118.39,$119.22,$117.72
09/26/2016,$117.78,5996021,$118.63,$118.64,$117.56
09/23/2016,$118.81,4772976,$119.41,$119.60,$118.71
09/22/2016,$119.46,5340374,$119.25,$119.84,$119.14
09/21/2016,$118.91,6336207,$117.95,$119.00,$117.64
09/20/2016,$117.95,5181473,$118.17,$118.24,$117.69
09/19/2016,$117.66,5454828,$118.36,$118.66,$117.64
09/16/2016,$118.25,12378670,$118.51,$119.14,$118.12
09/15/2016,$118.63,5814688,$117.81,$118.94,$117.32
09/14/2016,$117.86,6124892,$117.85,$118.33,$117.46
09/13/2016,$117.61,7955087,$118.42,$118.83,$117.49
09/12/2016,$119.16,7239663,$117.76,$119.45,$117.38
09/09/2016,$118.23,7955193,$119.03,$119.16,$118.18
09/08/2016,$119.47,4832110,$119.37,$119.82,$119.14
09/07/2016,$119.61,4753283,$119.84,$119.95,$119.435
09/06/2016,$119.75,5280652,$119.78,$119.97,$119.36
09/02/2016,$119.32,5806115,$119.36,$119.81,$118.90
09/01/2016,$119.08,4548565,$119.19,$119.39,$118.60
08/31/2016,$119.34,5693081,$119.54,$119.62,$119.01
08/30/2016,$119.47,3819488,$120.67,$120.67,$119.255
08/29/2016,$119.92,5074712,$119.30,$120.13,$119.055
08/26/2016,$119.04,6482381,$118.84,$119.74,$118.56
08/25/2016,$118.57,5565946,$118.86,$119.21,$118.33
